TIMESTAMP,DEVICE_TYPE,ISSUE_CATEGORY,CLAIM_VALUE,SERVICE_POINT,CALL_DURATION_MINS,WARRANTY_STATUS,PRIORITY
2026-05-20T08:15:00Z,French_Door_Refrigerator,Compressor_Failure,850,Louisville_KY,14,Valid,High Priority
2026-05-20T08:45:00Z,Front_Load_Washer,Control_Board,320.5,Atlanta_GA,8,Valid,Standard Priority
2026-05-20T09:10:00Z,Electric_Range,Heating_Element,150,Chicago_IL,22,Expired,Standard Priority
2026-05-20T09:30:00Z,Dishwasher,Water_Pump,410,Dallas_TX,unknown,Valid,Standard Priority
2026-05-20T10:05:00Z,French_Door_Refrigerator,Ice_Maker,120,Louisville_KY,45,Valid,Standard Priority
2026-05-20T10:22:00Z,Top_Load_Washer,Agitator_Motor,$275.00 ,Seattle_WA,11,Valid,Standard Priority
2026-05-20T11:00:00Z,Gas_Range,Igniter_Switch,85,Boston_MA,19,Expired,Standard Priority
2026-05-20T11:45:00Z,French_Door_Refrigerator,Compressor_Failure,920,Miami_FL,33,Valid,High Priority
2026-05-20T13:10:00Z,Dishwasher,Control_Board,,Denver_CO,15,Expired,Standard Priority
2026-05-20T14:05:00Z,Electric_Range,Glass_Cooktop,550,Phoenix_AZ,27,Valid,High Priority
2026-05-20T14:30:00Z,Microwave,Magnetron,210,Charlotte_NC,7,Valid,Standard Priority
2026-05-20T15:00:00Z,Wall_Oven,Thermostat,680,Portland_OR,29,Valid,High Priority
2026-05-20T15:42:00Z,Front_Load_Washer,Drain_Pump,180,Nashville_TN,12,Expired,Standard Priority
2026-05-20T16:15:00Z,French_Door_Refrigerator,Door_Seal,$95.00 ,Cleveland_OH,6,Valid,Standard Priority
2026-05-20T16:50:00Z,Gas_Range,Burner_Valve,340,Houston_TX,24,Valid,Standard Priority
2026-05-21T08:00:00Z,Dishwasher,Spray_Arm,75,Indianapolis_IN,9,Expired,Standard Priority
2026-05-21T08:30:00Z,Top_Load_Washer,Lid_Switch,140,Kansas_City_MO,,Valid,Standard Priority
2026-05-21T09:05:00Z,French_Door_Refrigerator,Compressor_Failure,1100,Louisville_KY,41,Valid,High Priority
2026-05-21T09:35:00Z,Cooktop,Induction_Coil,720,San_Francisco_CA,18,Valid,High Priority
2026-05-21T10:00:00Z,Electric_Range,Bake_Element,220,Minneapolis_MN,13,Expired,Standard Priority
2026-05-21T10:40:00Z,Wall_Oven,Door_Hinge,$410.00 ,Detroit_MI,21,Valid,Standard Priority
2026-05-21T11:15:00Z,Front_Load_Washer,Bearings,620,St_Louis_MO,35,Valid,High Priority
2026-05-21T11:50:00Z,Dishwasher,Detergent_Dispenser,95,Pittsburgh_PA,8,Expired,Standard Priority
2026-05-21T13:00:00Z,French_Door_Refrigerator,Evaporator_Fan,380,Tampa_FL,16,Valid,Standard Priority
2026-05-21T13:30:00Z,Microwave,Door_Latch,,Salt_Lake_City_UT,5,Valid,Standard Priority
2026-05-21T14:10:00Z,Gas_Range,Oven_Igniter,260,Las_Vegas_NV,20,Valid,Standard Priority
2026-05-21T14:45:00Z,Top_Load_Washer,Transmission,890,Albuquerque_NM,38,Valid,High Priority
2026-05-21T15:20:00Z,French_Door_Refrigerator,Defrost_Heater,$195.00 ,Sacramento_CA,11,Expired,Standard Priority
2026-05-21T15:55:00Z,Electric_Range,Surface_Element,165,Columbus_OH,10,Valid,Standard Priority
2026-05-21T16:30:00Z,Dishwasher,Heating_Element,290,Milwaukee_WI,17,Valid,Standard Priority
2026-05-22T08:10:00Z,Wall_Oven,Control_Board,780,Orlando_FL,28,Valid,High Priority
2026-05-22T08:45:00Z,Front_Load_Washer,Motor_Coupling,440,Raleigh_NC,22,Expired,Standard Priority
2026-05-22T09:20:00Z,French_Door_Refrigerator,Compressor_Failure,950,Louisville_KY,,Valid,High Priority
2026-05-22T10:00:00Z,Cooktop,Touch_Panel,510,Boise_ID,19,Valid,High Priority
2026-05-22T10:35:00Z,Gas_Range,Gas_Valve,330,Oklahoma_City_OK,14,Valid,Standard Priority
2026-05-22T11:10:00Z,Dishwasher,Float_Switch,80,Memphis_TN,7,Expired,Standard Priority
2026-05-22T11:45:00Z,Microwave,Turntable_Motor,110,Hartford_CT,6,Valid,Standard Priority
2026-05-22T13:15:00Z,Top_Load_Washer,Drain_Hose,$65.00 ,Buffalo_NY,4,Valid,Standard Priority
2026-05-22T13:50:00Z,French_Door_Refrigerator,Water_Inlet_Valve,225,San_Diego_CA,12,Valid,Standard Priority
2026-05-22T14:25:00Z,Electric_Range,Control_Knob,55,Richmond_VA,5,Expired,Standard Priority
